10000[16]00000000[01]008010000002048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[04]4c[17]
60 [16]00000000[01]003000001[04]39[17]
20 [16]00000000[01]0040100000[02]Girls 200m Medley                    [04]8C[17]
130 [16]00000000[01]0040101100[02]   23.3 [04]B4[17]
90 [16]00000000[01]0040101100[02]   23.4 [04]B5[17]
90 [16]00000000[01]0040101100[02]   23.5 [04]B6[17]
90 [16]00000000[01]0040101100[02]   23.6 [04]B7[17]
110 [16]00000000[01]0040101100[02]   23.7 [04]B8[17]
100 [16]00000000[01]0040101100[02]   23.8 [04]B9[17]
110 [16]00000000[01]0040101100[02]   23.9 [04]BA[17]
70 [16]00000000[01]0040101100[02]   24.0 [04]B2[17]
130 [16]00000000[01]0040101100[02]   24.1 [04]B3[17]
90 [16]00000000[01]0040101100[02]   24.2 [04]B4[17]
90 [16]00000000[01]0040101100[02]   24.3 [04]B5[17]
100 [16]00000000[01]0040101100[02]   24.4 [04]B6[17]
110 [16]00000000[01]0040101100[02]   24.5 [04]B7[17]
110 [16]00000000[01]0040101100[02]   24.6 [04]B8[17]
90 [16]00000000[01]0040101100[02]   24.7 [04]B9[17]
90 [16]00000000[01]0040101100[02]   24.8 [04]BA[17]
110 [16]00000000[01]0040101100[02]   24.9 [04]BB[17]
100 [16]00000000[01]0040101100[02]   25.0 [04]B3[17]
90 [16]00000000[01]0040101100[02]   25.1 [04]B4[17]
90 [16]00000000[01]0040101100[02]   25.2 [04]B5[17]
130 [16]00000000[01]0040101100[02]   25.3 [04]B6[17]
90 [16]00000000[01]0040101100[02]   25.4 [04]B7[17]
80 [16]00000000[01]0040101100[02]   25.5 [04]B8[17]
110 [16]00000000[01]0040101100[02]   25.6 [04]B9[17]
110 [16]00000000[01]0040101100[02]   25.7 [04]BA[17]
100 [16]00000000[01]0040101100[02]   25.8 [04]BB[17]
90 [16]00000000[01]0040101100[02]   25.9 [04]BC[17]
90 [16]00000000[01]0040101100[02]   26.0 [04]B4[17]
130 [16]00000000[01]0040101100[02]   26.1 [04]B5[17]
100 [16]00000000[01]0040101100[02]   26.2 [04]B6[17]
90 [16]00000000[01]0040101100[02]   26.3 [04]B7[17]
90 [16]00000000[01]0040101100[02]   26.4 [04]B8[17]
110 [16]00000000[01]0040101100[02]   26.5 [04]B9[17]
90 [16]00000000[01]0040101100[02]   26.6 [04]BA[17]
110 [16]00000000[01]0040101100[02]   26.7 [04]BB[17]
90 [16]00000000[01]0040101100[02]   26.8 [04]BC[17]
110 [16]00000000[01]0040101100[02]   26.9 [04]BD[17]
90 [16]00000000[01]0040101100[02]   27.0 [04]B5[17]
90 [16]00000000[01]0040101100[02]   27.1 [04]B6[17]
90 [16]00000000[01]0040101100[02]   27.2 [04]B7[17]
110 [16]00000000[01]0040101100[02]   27.3 [04]B8[17]
130 [16]00000000[01]0040101100[02]   27.4 [04]B9[17]
60 [16]00000000[01]0040101100[02]   27.5 [04]BA[17]
110 [16]00000000[01]0040101100[02]   27.6 [04]BB[17]
110 [16]00000000[01]0040101100[02]   27.7 [04]BC[17]
90 [16]00000000[01]0040101100[02]   27.8 [04]BD[17]
90 [16]00000000[01]0040101100[02]   27.9 [04]BE[17]
110 [16]00000000[01]0040101100[02]   28.0 [04]B6[17]
110 [16]00000000[01]0040101100[02]   28.1 [04]B7[17]
90 [16]00000000[01]0040101100[02]   28.2 [04]B8[17]
90 [16]00000000[01]0040101100[02]   28.3 [04]B9[17]
90 [16]00000000[01]0040101100[02]   28.4 [04]BA[17]
110 [16]00000000[01]0040101100[02]   28.5 [04]BB[17]
100 [16]00000000[01]0040101100[02]   28.6 [04]BC[17]
90 [16]00000000[01]0040101100[02]   28.7 [04]BD[17]
90 [16]00000000[01]0040101100[02]   28.8 [04]BE[17]
110 [16]00000000[01]0040101100[02]   28.9 [04]BF[17]
90 [16]00000000[01]0040101100[02]   29.0 [04]B7[17]
110 [16]00000000[01]0040101100[02]   29.1 [04]B8[17]
90 [16]00000000[01]0040101100[02]   29.2 [04]B9[17]
110 [16]00000000[01]0040101100[02]   29.3 [04]BA[17]
90 [16]00000000[01]0040101100[02]   29.4 [04]BB[17]
90 [16]00000000[01]0040101100[02]   29.5 [04]BC[17]
90 [16]00000000[01]0040101100[02]   29.6 [04]BD[17]
110 [16]00000000[01]0040101100[02]   29.7 [04]BE[17]
110 [16]00000000[01]0040101100[02]   29.8 [04]BF[17]
90 [16]00000000[01]0040101100[02]   29.9 [04]C0[17]
90 [16]00000000[01]0040101100[02]   30.0 [04]AF[17]
90 [16]00000000[01]0040101100[02]   30.1 [04]B0[17]
110 [16]00000000[01]0040101100[02]   30.2 [04]B1[17]
90 [16]00000000[01]0040101100[02]   30.3 [04]B2[17]
90 [16]00000000[01]0040101100[02]   30.4 [04]B3[17]
110 [16]00000000[01]0040101100[02]   30.5 [04]B4[17]
110 [16]00000000[01]0040101100[02]   30.6 [04]B5[17]
90 [16]00000000[01]0040101100[02]   30.7 [04]B6[17]
90 [16]00000000[01]0040101100[02]   30.8 [04]B7[17]
130 [16]00000000[01]0040101100[02]   30.9 [04]B8[17]
80 [16]00000000[01]0040101100[02]   31.0 [04]B0[17]
110 [16]00000000[01]0040101100[02]   31.1 [04]B1[17]
90 [16]00000000[01]0040101100[02]   31.2 [04]B2[17]
110 [16]00000000[01]0040101100[02]   31.3 [04]B3[17]
90 [16]00000000[01]0040101100[02]   31.4 [04]B4[17]
80 [16]00000000[01]0040101100[02]   31.5 [04]B5[17]
110 [16]00000000[01]0040101100[02]   31.6 [04]B6[17]
110 [16]00000000[01]0040101100[02]   31.7 [04]B7[17]
110 [16]00000000[01]0040101100[02]   31.8 [04]B8[17]
90 [16]00000000[01]0040101100[02]   31.9 [04]B9[17]
80 [16]00000000[01]0040101100[02]   32.0 [04]B1[17]
130 [16]00000000[01]0040101100[02]   32.1 [04]B2[17]
130 [16]00000000[01]0040101100[02]   32.2 [04]B3[17]
60 [16]00000000[01]0040101100[02]   32.3 [04]B4[17]
110 [16]00000000[01]0040101100[02]   32.4 [04]B5[17]
90 [16]00000000[01]0040101100[02]   32.5 [04]B6[17]
110 [16]00000000[01]0040101100[02]   32.6 [04]B7[17]
90 [16]00000000[01]0040101100[02]   32.7 [04]B8[17]
110 [16]00000000[01]0040101100[02]   32.8 [04]B9[17]
110 [16]00000000[01]0040101100[02]   32.9 [04]BA[17]
80 [16]00000000[01]0040101100[02]   33.0 [04]B2[17]
110 [16]00000000[01]0040101100[02]   33.1 [04]B3[17]
90 [16]00000000[01]0040101100[02]   33.2 [04]B4[17]
110 [16]00000000[01]0040101100[02]   33.3 [04]B5[17]
110 [16]00000000[01]0040101100[02]   33.4 [04]B6[17]
60 [16]00000000[01]0040101100[02]   33.5 [04]B7[17]
110 [16]00000000[01]0040101100[02]   33.6 [04]B8[17]
110 [16]00000000[01]0040101100[02]   33.7 [04]B9[17]
110 [16]00000000[01]0040101100[02]   33.8 [04]BA[17]
90 [16]00000000[01]0040101100[02]   33.9 [04]BB[17]
80 [16]00000000[01]0040101100[02]   34.0 [04]B3[17]
120 [16]00000000[01]0040101100[02]   34.1 [04]B4[17]
90 [16]00000000[01]0040101100[02]   34.2 [04]B5[17]
110 [16]00000000[01]0040101100[02]   34.3 [04]B6[17]
90 [16]00000000[01]0040101100[02]   34.4 [04]B7[17]
90 [16]00000000[01]0040101100[02]   34.5 [04]B8[17]
110 [16]00000000[01]0040101100[02]   34.6 [04]B9[17]
90 [16]00000000[01]0040101100[02]   34.7 [04]BA[17]
90 [16]00000000[01]0040101100[02]   34.8 [04]BB[17]
110 [16]00000000[01]0040101100[02]   34.9 [04]BC[17]
80 [16]00000000[01]0040101100[02]   35.0 [04]B4[17]
130 [16]00000000[01]0040101100[02]   35.1 [04]B5[17]
90 [16]00000000[01]0040101100[02]   35.2 [04]B6[17]
110 [16]00000000[01]0040101100[02]   35.3 [04]B7[17]
90 [16]00000000[01]0040101100[02]   35.4 [04]B8[17]
80 [16]00000000[01]0040101100[02]   35.5 [04]B9[17]
110 [16]00000000[01]0040101100[02]   35.6 [04]BA[17]
130 [16]00000000[01]0040101100[02]   35.7 [04]BB[17]
90 [16]00000000[01]0040101100[02]   35.8 [04]BC[17]
90 [16]00000000[01]0040101100[02]   35.9 [04]BD[17]
100 [16]00000000[01]0040101100[02]   36.0 [04]B5[17]
110 [16]00000000[01]0040101100[02]   36.1 [04]B6[17]
90 [16]00000000[01]0040101100[02]   36.2 [04]B7[17]
90 [16]00000000[01]0040101100[02]   36.3 [04]B8[17]
90 [16]00000000[01]0040101100[02]   36.4 [04]B9[17]
110 [16]00000000[01]0040101100[02]   36.5 [04]BA[17]
90 [16]00000000[01]0040101100[02]   36.6 [04]BB[17]
110 [16]00000000[01]0040101100[02]   36.7 [04]BC[17]
90 [16]00000000[01]0040101100[02]   36.8 [04]BD[17]
110 [16]00000000[01]0040101100[02]   36.9 [04]BE[17]
90 [16]00000000[01]0040101100[02]   37.0 [04]B6[17]
90 [16]00000000[01]0040101100[02]   37.1 [04]B7[17]
100 [16]00000000[01]0040101100[02]   37.2 [04]B8[17]
110 [16]00000000[01]0040101100[02]   37.3 [04]B9[17]
90 [16]00000000[01]0040101100[02]   37.4 [04]BA[17]
90 [16]00000000[01]0040101100[02]   37.5 [04]BB[17]
110 [16]00000000[01]0040101100[02]   37.6 [04]BC[17]
110 [16]00000000[01]0040101100[02]   37.7 [04]BD[17]
90 [16]00000000[01]0040101100[02]   37.8 [04]BE[17]
100 [16]00000000[01]0040101100[02]   37.9 [04]BF[17]
90 [16]00000000[01]0040101100[02]   38.0 [04]B7[17]
130 [16]00000000[01]0040101100[02]   38.1 [04]B8[17]
100 [16]00000000[01]0040101100[02]   38.2 [04]B9[17]
90 [16]00000000[01]0040101100[02]   38.3 [04]BA[17]
90 [16]00000000[01]0040101100[02]   38.4 [04]BB[17]
110 [16]00000000[01]0040101100[02]   38.5 [04]BC[17]
90 [16]00000000[01]0040101100[02]   38.6 [04]BD[17]
110 [16]00000000[01]0040101100[02]   38.7 [04]BE[17]
80 [16]00000000[01]0040101100[02]   38.8 [04]BF[17]
110 [16]00000000[01]0040101100[02]   38.9 [04]C0[17]
100 [16]00000000[01]0040101100[02]   39.0 [04]B8[17]
90 [16]00000000[01]0040101100[02]   39.1 [04]B9[17]
90 [16]00000000[01]0040101100[02]   39.2 [04]BA[17]
130 [16]00000000[01]0040101100[02]   39.3 [04]BB[17]
80 [16]00000000[01]0040101100[02]   39.4 [04]BC[17]
90 [16]00000000[01]0040101100[02]   39.5 [04]BD[17]
90 [16]00000000[01]0040101100[02]   39.6 [04]BE[17]
110 [16]00000000[01]0040101100[02]   39.7 [04]BF[17]
90 [16]00000000[01]0040101100[02]   39.8 [04]C0[17]
110 [16]00000000[01]0040101100[02]   39.9 [04]C1[17]
80 [16]00000000[01]0040101100[02]   40.0 [04]B0[17]
130 [16]00000000[01]0040101100[02]   40.1 [04]B1[17]
90 [16]00000000[01]0040101100[02]   40.2 [04]B2[17]
90 [16]00000000[01]0040101100[02]   40.3 [04]B3[17]
90 [16]00000000[01]0040101100[02]   40.4 [04]B4[17]
110 [16]00000000[01]0040101100[02]   40.5 [04]B5[17]
110 [16]00000000[01]0040101100[02]   40.6 [04]B6[17]
80 [16]00000000[01]0040101100[02]   40.7 [04]B7[17]
110 [16]00000000[01]0040101100[02]   40.8 [04]B8[17]
90 [16]00000000[01]0040101100[02]   40.9 [04]B9[17]
110 [16]00000000[01]0040101100[02]   41.0 [04]B1[17]
